Date,Check,Outcome,Count
2023-09-08 14:23:34.372345,Tenant Name Check,Match,797
2023-09-08 14:23:34.372345,Tenant Name Check,Immaterial,0
2023-09-08 14:23:34.372345,Tenant Name Check,Failing,0
2023-09-08 14:23:34.372345,Estimated Rental Value Check,Match,641
2023-09-08 14:23:34.372345,Estimated Rental Value Check,Immaterial,156
2023-09-08 14:23:34.372345,Estimated Rental Value Check,Failing,0
2023-09-08 14:23:34.372345,Net Effective Rent Check,Match,643
2023-09-08 14:23:34.372345,Net Effective Rent Check,Immaterial,154
2023-09-08 14:23:34.372345,Net Effective Rent Check,Failing,0
