Date,Check,Outcome,Count
2023-09-07 20:03:42.392327,Tenant Name Check,Match,797
2023-09-07 20:03:42.392327,Tenant Name Check,Immaterial,0
2023-09-07 20:03:42.392327,Tenant Name Check,Failing,0
2023-09-07 20:03:42.392327,Estimated Rental Value Check,Match,641
2023-09-07 20:03:42.392327,Estimated Rental Value Check,Immaterial,153
2023-09-07 20:03:42.392327,Estimated Rental Value Check,Failing,3
2023-09-07 20:03:42.392327,Net Effect Rental Check,Match,797
2023-09-07 20:03:42.392327,Net Effect Rental Check,Immaterial,0
2023-09-07 20:03:42.392327,Net Effect Rental Check,Failing,0
